Row,Missing Trading Pair,Base Asset,Quote Asset
1,AERGOUSDT,AERGO,USDT
2,AGIXUSDT,AGIX,USDT
3,AIONUSDT,AION,USDT
4,AKROUSDT,AKRO,USDT
5,ALPACAUSDT,ALPACA,USDT
6,ALPHAUSDT,ALPHA,USDT
7,AMBUSDT,AMB,USDT
8,ANCUSDT,ANC,USDT
9,ANTUSDT,ANT,USDT
10,ANYUSDT,ANY,USDT
11,ASTUSDT,AST,USDT
12,AUDUSDT,AUD,USDT
13,AUTOUSDT,AUTO,USDT
14,BADGERUSDT,BADGER,USDT
15,BAKEUSDT,BAKE,USDT
16,BALUSDT,BAL,USDT
17,BCCUSDT,BCC,USDT
18,BCHABCUSDT,BCHABC,USDT
19,BCHSVUSDT,BCHSV,USDT
20,BEAMUSDT,BEAM,USDT
21,BETAUSDT,BETA,USDT
22,BETHUSDT,BETH,USDT
23,BKRWUSDT,BKRW,USDT
24,BLZUSDT,BLZ,USDT
25,BNXUSDT,BNX,USDT
26,BONDUSDT,BOND,USDT
27,BSWUSDT,BSW,USDT
28,BTCSTUSDT,BTCST,USDT
29,BTGUSDT,BTG,USDT
30,BTSUSDT,BTS,USDT
31,BTTUSDT,BTT,USDT
32,BURGERUSDT,BURGER,USDT
33,BUSDUSDT,BUSD,USDT
34,BZRXUSDT,BZRX,USDT
35,CLVUSDT,CLV,USDT
36,COCOSUSDT,COCOS,USDT
37,COMBOUSDT,COMBO,USDT
38,CREAMUSDT,CREAM,USDT
39,CTXCUSDT,CTXC,USDT
40,CVPUSDT,CVP,USDT
41,DAIUSDT,DAI,USDT
42,DARUSDT,DAR,USDT
43,DNTUSDT,DNT,USDT
44,DOCKUSDT,DOCK,USDT
45,DREPUSDT,DREP,USDT
46,ELFUSDT,ELF,USDT
47,EOSUSDT,EOS,USDT
48,EPSUSDT,EPS,USDT
49,EPXUSDT,EPX,USDT
50,ERDUSDT,ERD,USDT
51,ERNUSDT,ERN,USDT
52,FIROUSDT,FIRO,USDT
53,FORUSDT,FOR,USDT
54,FRONTUSDT,FRONT,USDT
55,FTMUSDT,FTM,USDT
56,GALUSDT,GAL,USDT
57,GBPUSDT,GBP,USDT
58,GFTUSDT,GFT,USDT
59,GTOUSDT,GTO,USDT
60,GXSUSDT,GXS,USDT
61,HARDUSDT,HARD,USDT
62,HCUSDT,HC,USDT
63,HIFIUSDT,HIFI,USDT
64,HNTUSDT,HNT,USDT
65,IRISUSDT,IRIS,USDT
66,KEEPUSDT,KEEP,USDT
67,KEYUSDT,KEY,USDT
68,KLAYUSDT,KLAY,USDT
69,KMDUSDT,KMD,USDT
70,KP3RUSDT,KP3R,USDT
71,LENDUSDT,LEND,USDT
72,LEVERUSDT,LEVER,USDT
73,LINAUSDT,LINA,USDT
74,LITUSDT,LIT,USDT
75,LOKAUSDT,LOKA,USDT
76,LOOMUSDT,LOOM,USDT
77,LTOUSDT,LTO,USDT
78,MATICUSDT,MATIC,USDT
79,MCOUSDT,MCO,USDT
80,MCUSDT,MC,USDT
81,MDXUSDT,MDX,USDT
82,MFTUSDT,MFT,USDT
83,MIRUSDT,MIR,USDT
84,MITHUSDT,MITH,USDT
85,MKRUSDT,MKR,USDT
86,MOBUSDT,MOB,USDT
87,MULTIUSDT,MULTI,USDT
88,NANOUSDT,NANO,USDT
89,NBSUSDT,NBS,USDT
90,NBTUSDT,NBT,USDT
91,NEBLUSDT,NEBL,USDT
92,NPXSUSDT,NPXS,USDT
93,NULSUSDT,NULS,USDT
94,NUUSDT,NU,USDT
95,OAXUSDT,OAX,USDT
96,OCEANUSDT,OCEAN,USDT
97,OMGUSDT,OMG,USDT
98,OOKIUSDT,OOKI,USDT
99,ORNUSDT,ORN,USDT
100,PAXUSDT,PAX,USDT
101,PDAUSDT,PDA,USDT
102,PERLUSDT,PERL,USDT
103,PLAUSDT,PLA,USDT
104,PNTUSDT,PNT,USDT
105,POLSUSDT,POLS,USDT
106,POLYUSDT,POLY,USDT
107,PROSUSDT,PROS,USDT
108,RAMPUSDT,RAMP,USDT
109,REEFUSDT,REEF,USDT
110,RENUSDT,REN,USDT
111,REPUSDT,REP,USDT
112,RGTUSDT,RGT,USDT
113,RNDRUSDT,RNDR,USDT
114,SLFUSDT,SLF,USDT
115,SNTUSDT,SNT,USDT
116,SRMUSDT,SRM,USDT
117,STMXUSDT,STMX,USDT
118,STORMUSDT,STORM,USDT
119,STPTUSDT,STPT,USDT
120,STRATUSDT,STRAT,USDT
121,SUSDUSDT,SUSD,USDT
122,TCTUSDT,TCT,USDT
123,TOMOUSDT,TOMO,USDT
124,TORNUSDT,TORN,USDT
125,TRIBEUSDT,TRIBE,USDT
126,TROYUSDT,TROY,USDT
127,TVKUSDT,TVK,USDT
128,UFTUSDT,UFT,USDT
129,UNFIUSDT,UNFI,USDT
130,USDSBUSDT,USDSB,USDT
131,USDSUSDT,USDS,USDT
132,USTUSDT,UST,USDT
133,VENUSDT,VEN,USDT
134,VGXUSDT,VGX,USDT
135,VIBUSDT,VIB,USDT
136,VIDTUSDT,VIDT,USDT
137,VITEUSDT,VITE,USDT
138,WAVESUSDT,WAVES,USDT
139,WINGUSDT,WING,USDT
140,WNXMUSDT,WNXM,USDT
141,WRXUSDT,WRX,USDT
142,WTCUSDT,WTC,USDT
143,XEMUSDT,XEM,USDT
144,XMRUSDT,XMR,USDT
145,XZCUSDT,XZC,USDT
146,YFIIUSDT,YFII,USDT